temperature,humidity,pressure,wind_speed,FIRE_STATUS,x0_CA,x0_CO,x0_NV,x0_TX
0.5042455911169181,0.8179091688089117,0.4508262108262109,0.2789115646258503,0,1.0,0.0,0.0,0.0
0.5813193990855652,0.6353898886032561,0.4681481481481491,0.29081632653061223,0,1.0,0.0,0.0,0.0
0.6677552797735693,0.43316195372750643,0.46575498575498564,0.4047619047619047,0,1.0,0.0,0.0,0.0
0.640757674722404,0.5733718937446444,0.4605128205128217,0.4744897959183673,0,1.0,0.0,0.0,0.0
0.5308077509253213,0.6751285347043702,0.5113390313390322,0.36224489795918363,0,1.0,0.0,0.0,0.0
0.5170912257783584,0.7165809768637532,0.5503133903133914,0.5238095238095238,0,1.0,0.0,0.0,0.0
0.5075114304376225,0.695586975149957,0.5384615384615383,0.5170068027210885,0,1.0,0.0,0.0,0.0
0.4844328325713043,0.7005141388174807,0.5279772079772087,0.7295918367346939,0,1.0,0.0,0.0,0.0
0.4809492706292193,0.7237574978577548,0.5209116809116807,0.5663265306122449,0,1.0,0.0,0.0,0.0
0.4844328325713043,0.7268637532133676,0.5288888888888899,0.36224489795918363,0,1.0,0.0,0.0,0.0
0.5138253864576532,0.6617395029991431,0.5009686609686614,0.5748299319727891,0,1.0,0.0,0.0,0.0
0.4517744393642502,0.6911953727506427,0.49709401709401746,0.6870748299319728,0,1.0,0.0,0.0,0.0
0.46266057043326825,0.6844473007712083,0.5299145299145298,0.5595238095238095,0,1.0,0.0,0.0,0.0
0.46222512519050785,0.6666666666666666,0.6139031339031344,0.32653061224489793,0,1.0,0.0,0.0,0.0
0.5081645983017644,0.7987360754070264,0.5963532763532768,0.6020408163265306,0,1.0,0.0,0.0,0.0
0.5227520139342481,0.8255141388174806,0.5503133903133914,0.6598639455782312,0,1.0,0.0,0.0,0.0
0.5754408883082958,0.7487146529562982,0.5104273504273511,0.879251700680272,0,1.0,0.0,0.0,0.0
0.5632484215109956,0.6429948586118251,0.480455840455841,0.369047619047619,0,1.0,0.0,0.0,0.0
0.5952536468539087,0.4113110539845758,0.4823931623931639,0.38945578231292516,0,1.0,0.0,0.0,0.0
0.5715218811234486,0.7068337617823478,0.5260398860398876,0.6241496598639455,0,1.0,0.0,0.0,0.0
0.4933594600479001,0.7437874892887746,0.4828490028490027,0.9846938775510203,0,1.0,0.0,0.0,0.0
0.4454604833442204,0.5907240788346186,0.47623931623931703,0.4041522665844034,0,1.0,0.0,0.0,0.0
0.44175919878075387,0.7041559554413024,0.46199430199430225,0.7874149659863945,0,1.0,0.0,0.0,0.0
0.42913128674069334,0.629605826906598,0.5137321937321939,0.46088435374149656,0,1.0,0.0,0.0,0.0
0.43544524276072316,0.6479220222793487,0.5474643874643892,0.5884353741496599,0,1.0,0.0,0.0,0.0
0.45460483344219504,0.6741645244215938,0.5992022792022791,0.369047619047619,0,1.0,0.0,0.0,0.0
0.4563466144132384,0.5715509854327334,0.6020512820512831,0.2619047619047619,0,1.0,0.0,0.0,0.0
0.509253211408665,0.6982647814910025,0.5498575498575491,0.4115646258503401,0,1.0,0.0,0.0,0.0
